#Release 14.1 - par P.15xf (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Feb 25 16:58:55 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       GPPTestCircuit_map.ncd
#OUTPUT FILE:      GPPTestCircuit_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,SW<2>,IBUF,IO_L01P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P3,SW<1>,IBUF,IO_L01N_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P4,SW<0>,IBUF,IO_L02P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P5,led<7>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,3.30,,,,
P9,led<6>,IOB,IO_L03P_3/LHCLK0,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P10,led<5>,IOB,IO_L03N_3/LHCLK1,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P11,led<4>,IOB,IO_L04P_3/LHCLK2,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P12,led<3>,IOB,IO_L04N_3/LHCLK3/IRDY2,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P13,,IBUF,IP,UNUSED,,3,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,led<2>,IOB,IO_L05P_3/LHCLK4/TRDY2,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,led<1>,IOB,IO_L05N_3/LHCLK5,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P17,led<0>,IOB,IO_L06P_3/LHCLK6,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P18,anodes<0>,IOB,IO_L06N_3/LHCLK7,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,3.30,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
P22,JOY_BTN,IBUF,IO_L07P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P23,dp,IOB,IO_L07N_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P24,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
P25,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
